address,city,county,state,latitude,longitude,stateFIPS,GEOID
"271 Newark Ave, Jersey City, NJ 07302",Jersey City,Hudson County,NJ,40.72314,-74.049484,34,34017
"1323 Stuyvesant Avenue, Union, NJ 07083",Union,Union County,NJ,40.701712,-74.263881,34,34039
"559 Portsmouth Ave, Greenland, NH 03840",Greenland,Rockingham County,NH,43.036372,-70.83753,33,33015
"3144 John F. Kennedy Blvd., Jersey City, NJ 07305",Jersey City,Hudson County,NJ,40.740259,-74.061339,34,34017
"1547 W. Clinch Avenue, Knoxville, TN 37916",Knoxville,Knox County,TN,35.959536,-83.930153,47,47093
"4 Office Park Drive, Little Rock, AR 72211",Little Rock,Pulaski County,AR,34.746128,-92.39747,5,5119
"933 NW 25th Avenue, Portland, OR 97210",Portland,Multnomah County,OR,45.529489,-122.702981,41,41051
"700 Mount Hope Avenue, Suite 420, Bangor ME 04401",Bangor,Penobscot County,ME,44.82479,-68.735824,23,23019
"43 Gabriel Drive, Augusta, ME, 04330",Augusta,Kennebec County,ME,44.369013,-69.797641,23,23011
"68 Mount Hope Avenue, Bangor, ME 04401",Bangor,Penobscot County,ME,44.813211,-68.76344,23,23019
"147 Waldo Avenue, Belfast, ME 04915",Belfast,Waldo County,ME,44.432566,-69.018922,23,23027
"10 Barker St Suite D, Calais, ME 04619",Calais,Washington County,ME,45.186003,-67.267664,23,23029
"767 Main Street, Damariscotta, ME 04543",Damariscotta,Lincoln County,ME,44.054885,-69.499431,23,23015
"311 Corinna Road, Dexter, ME 04930",Dexter,Penobscot County,ME,45.003692,-69.283085,23,23019
"248 State Street, Ellsworth, ME 04605",Ellsworth,Hancock County,ME,44.551612,-68.429392000000007,23,23009
"193 Front Street, Farmington, ME 04938",Farmington,Franklin County,ME,44.668767,-70.151888,23,23007
"139 Market Street, Fort Kent, ME 04743",Fort Kent,Aroostook County,ME,47.251013,-68.579734,23,23003
"91 Military Street, Houlton, ME 04730",Houlton,Aroostook County,ME,46.123998,-67.831249,23,23003
"179 Lisbon Street, Lewiston, ME 04240",Lewiston,Androscoggin County,ME,44.095584,-70.21679,23,23001
"247 Main Street, Machias, ME 04654",Whitneyville,Washington County,ME,44.722815,-67.439696,23,23029
"9 Marston Street, Norway, ME 04268",Norway,Oxford County,ME,44.212315,-70.536202,23,23017
"5 Martin Street, Presque Isle, ME 04769",Presque Isle,Aroostook County,ME,46.687751,-68.009248,23,23003
"22 White Street, Rockland, ME 04841",Rockland,Knox County,ME,44.10547,-69.112955,23,23013
"218 Penobscot Street, Rumford, ME 04276",Rumford,Oxford County,ME,44.549466,-70.551523,23,23017
"188 Madison Avenue, Skowhegan, ME 04976",Skowhegan,Somerset County,ME,44.774005,-69.72384,23,23025
"18 Silver Street, Waterville, ME 04901",Waterville,Kennebec County,ME,44.548637,-69.630542,23,23011
"77 Gilcreast Road, Suite 1000, Londonderry, NH 03053",Londonderry,Rockingham County,NH,42.865997,-71.351695,33,33015
"150 Tarrytown Rd, Manchester, NH 03103",Manchester,Hillsborough County,NH,42.983637,-71.43514,33,33011
"106 Irving Street NW, Physicians Office Building, Suite 4400 North Tower, Washington, DC 20010",Washington,District of Columbia,DC,38.929375,-77.014396,11,11001
